toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
328,-5.735,0.075,-0.075,-5.495,0.092,-0.092,2460556.995,1.8296155,2.166,0.479,-0.479,1406.0,2197.18,-2197.18,29.3616,32867.0,3751.0,10.349,0.007,-0.007,880.107,28.165,-28.165,7875.0,92.1,-92.1,3.61,3.5,FALSE_POSITIVE
329,-4.087,0.089,-0.089,-4.084,0.058,-0.058,2459545.885,4.2318085,2.558,0.364,-0.364,1780.0,4.4521,-4.4521,7.88895,1128.72,1614.0,11.9696,0.016,-0.016,809.167,32.202,-32.202,8064.0,170.6,-170.6,4.17,1.91,FALSE_POSITIVE
330,14.666,0.048,-0.048,-24.892,0.072,-0.072,2458366.33,13.340145,4.611198,0.546755,-0.546755,589.893526,79.06242,-79.06242,3.929267,268.2186408,1032.148032,8.7435,0.006,-0.006,140.941,0.852,-0.852,6467.0,198.0,-198.0,4.16063,1.57943,FALSE_POSITIVE
331,-0.511,0.062,-0.062,3.17,0.055,-0.055,2460551.554,4.4350025,2.252,0.381,-0.381,2085.0,307.043,-307.043,9.91393,6855.78,2535.0,10.1503,0.075,-0.075,464.209,8.1325,-8.1325,9706.0,667.9,-667.9,4.29,1.87,FALSE_POSITIVE
332,8.41,0.861,-0.861,2.65,0.859,-0.859,2459826.736,3.1198404,1.7646723,0.0377944,-0.0377944,8016.800953,283.0963,-283.0963,12.1758,728.1777183,1324.887785,10.9541,0.007,-0.007,273.2615,2.5675,-2.5675,6011.2,41.8,-41.8,4.34,1.13476,CONFIRMED
333,-9.897,0.067,-0.067,1.268,0.057,-0.057,2459308.613,2.8970202,4.1502336,0.0817383,-0.0817383,3080.923931,89.813965,-89.813965,9.49438,631.5687933,1278.571193,8.2376,0.6,-0.6,3847.17,621.77,-621.77,8862.0,240.0,-240.0,4.1,1.24,FALSE_POSITIVE
334,13.263,0.05,-0.05,-5.412,0.049,-0.049,2459770.52,1.2129139,2.1862785,0.020772,-0.020772,14617.26796,126.622475,-126.622475,14.1049577,2796.234196,1854.655002,11.734,0.006,-0.006,364.813,4.7125,-4.7125,5918.23,136.811,-136.811,4.34796,1.15176,CONFIRMED
335,94.768,0.054,-0.054,-340.47,0.052,-0.052,2460688.708,3.6906759,1.107,0.081,-0.081,1657.0,43.4539,-43.4539,1.36751,8.77401,479.0,9.41242,0.007,-0.007,10.6194,0.0032,-0.0032,3469.0,68.0,-68.0,4.9401,0.31,CONFIRMED
336,0.082,0.024,-0.024,3.152,0.026,-0.026,2459963.185,0.4405893,1.075,0.159,-0.159,1850.0,4.1889,-4.1889,6.74949,4788.57,2317.0,12.8004,0.006,-0.006,684.386,6.139,-6.139,5643.0,135.5,-135.5,4.1,1.48,FALSE_POSITIVE
337,-0.54,1.063,-1.063,-5.003,1.063,-1.063,2458660.163,4.13812,3.911,0.49,-0.49,5560.0,2.56649,-2.56649,9.49438,613.964,1386.0,10.5084,0.006,-0.006,273.2615,2.5675,-2.5675,4898.4,88.7,-88.7,4.34,1.24,FALSE_POSITIVE
338,-13.547,0.058,-0.058,-1.741,0.064,-0.064,2460032.219,4.0337201,3.48,0.138,-0.138,2868.0,43.9533,-43.9533,11.5159,1910.26,1841.0,10.2396,0.006,-0.006,515.603,9.044,-9.044,7369.0,219.0,-219.0,4.27,2.22,CONFIRMED
339,15.023,0.076,-0.076,-33.874,0.057,-0.057,2460228.759,7.1385672,2.464,0.331,-0.331,2064.0,73.3176,-73.3176,3.60516,63.7967,787.0,11.2451,0.006,-0.006,154.961,1.1525,-1.1525,5144.5,136.4,-136.4,4.6,0.77,CONFIRMED
340,-2.464,0.043,-0.043,-3.825,0.047,-0.047,2459772.313,2.8164979,2.6896665,0.1674285,-0.1674285,19270.72703,814.49554,-814.49554,14.4894174,539.3972356,1229.127481,14.4889,0.008,-0.008,939.744,17.915,-17.915,5413.0,122.0,-122.0,4.39994,1.0130399,CONFIRMED
341,8.584,0.113,-0.113,-52.648,0.095,-0.095,2459062.342,2.1357026,1.9116457,0.0233822,-0.0233822,29272.61849,250.34743,-250.34743,11.6264152,96.5817843,799.5461856,13.3147,0.007,-0.007,191.51,2.0475,-2.0475,3678.2,140.5,-140.5,4.34,0.666652,CONFIRMED
342,-26.044,0.076,-0.076,-75.114,0.094,-0.094,2459601.846,3.1190716,1.1585974,0.1684635,-0.1684635,2964.582891,503.0731,-503.0731,1.6229796,10.0845871,454.5004101,13.4764,0.007,-0.007,48.4809,0.098,-0.098,3285.0,157.0,-157.0,4.98992,0.247331,CONFIRMED
343,14.755,0.032,-0.032,44.689,0.037,-0.037,2458994.287,11.6207544,5.6290584,0.3866138,-0.3866138,486.0090375,38.16921,-38.16921,3.207554,239.281495,1003.106462,8.40302,0.006,-0.006,107.898,0.317,-0.317,6329.0,134.955,-134.955,4.24509,1.39619,CONFIRMED
344,-5.964,0.085,-0.085,-0.076,0.072,-0.072,2459229.63,2.1713484,2.0172196,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,22601.94858,3127.204052,9.604,0.013,-0.013,485.735,11.9515,-11.9515,10249.0,264.7,-264.7,4.19,2.16986,FALSE_POSITIVE
345,-13.597,0.048,-0.048,5.808,0.049,-0.049,2459296.556,8.8088443,4.411,0.582,-0.582,3550.0,7.18568,-7.18568,10.7596,2579.38,1985.0,10.5387,0.006,-0.006,454.844,6.149,-6.149,8072.0,235.3,-235.3,4.37,1.58,FALSE_POSITIVE
346,-8.1,0.102,-0.102,-9.639,0.055,-0.055,2459355.546,3.7354838,4.142,0.045,-0.045,17030.0,0.271732,-0.271732,21.2315,1292.19,1670.0,11.0261,0.006,-0.006,405.908,8.6,-8.6,6650.0,131.1,-131.1,4.1639,1.57,CONFIRMED
347,-21.126,0.046,-0.046,-0.988,0.037,-0.037,2459326.618,4.1197036,4.547,0.456,-0.456,2690.0,2.75282,-2.75282,9.06392,1047.58,1584.0,12.1137,0.006,-0.006,647.595,14.7305,-14.7305,5848.8,105.9,-105.9,3.96,1.79,CONFIRMED
