orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,label
21.06075303,5.2472,0.0663,-0.0663,301.0,6.3,-6.3,1.78,0.26,-0.21,669.0,5706.0,114.0,-103.0,1.034,0.148,-0.121,1
0.4405893,1.075,0.159,-0.159,1850.0,4.1889,-4.1889,6.74949,0.490517,-0.490517,2317.0,5643.0,135.5,-135.5,1.48,0.08,-0.08,0
12.3750537,6.6166181,0.2058026,-0.2058026,4155.6104825,161.24648,-161.24648,17.1909846,1.0205122,-1.0205122,1258.376981,6173.5,130.305,-130.305,2.36235,0.127678,-0.127678,0
3.71545593,2.558,0.117,-0.117,332.0,19.0,-19.0,1.46,0.11,-0.09,1001.0,5296.0,106.0,-106.0,0.808,0.06,-0.049,1
0.502622858,3.085,0.977,-0.977,146.0,15.5,-15.5,1.41,0.44,-0.19,2478.0,6029.0,190.0,-211.0,1.098,0.341,-0.146,0
2.09227115,2.4062,0.0716,-0.0716,208.0,7.9,-7.9,2.06,0.33,-0.45,1648.0,5565.0,83.0,-66.0,1.439,0.229,-0.315,1
10.8484518,2.9993,0.0431,-0.0431,1680.0,28.8,-28.8,2.34,0.44,-0.43,499.0,4201.0,676.0,-416.0,0.591,0.109,-0.109,1
1.39772545,4.129,0.221,-0.221,181.0,10.7,-10.7,1.58,0.49,-0.22,1763.0,6006.0,190.0,-232.0,1.114,0.35,-0.15,0
466.08101,23.69,2.4,-2.4,180.0,15.0,-15.0,2.13,1.07,-0.63,305.0,6098.0,153.0,-185.0,1.59,0.792,-0.469,0
2.6634154,1.8429688,0.0966523,-0.0966523,37522.94895,1205.5743,-1205.5743,13.6857367,0.5672584,-0.5672584,832.6796495,4051.0,122.0,-122.0,0.701369,0.169,-0.088,1
0.60274,1.834,0.017,-0.017,16763.6,469.962,-469.962,11.8344,2.05443,-2.05443,3246.0,5146.2,120.2,-120.2,0.83,0.04,-0.04,0
2.42150341,2.965,0.167,-0.167,172.0,12.6,-12.6,1.62,0.47,-0.19,1532.0,6213.0,173.0,-259.0,1.195,0.351,-0.14,1
105.6552651,9.39,0.137,-0.137,1370.0,33.5,-33.5,4.22,0.66,-0.55,407.0,5741.0,77.0,-77.0,1.136,0.18,-0.147,1
2.81814715,1.763,0.0974,-0.0974,279.0,19.0,-19.0,1.3,0.09,-0.07,1059.0,5167.0,103.0,-103.0,0.787,0.053,-0.043,1
1.138548215,2.1482,0.0616,-0.0616,66.2,2.5,-2.5,1.45,0.29,-0.45,2537.0,6520.0,175.0,-175.0,1.713,0.351,-0.527,1
99.673478,0.968,0.179,-0.179,2500.0,264.0,-264.0,576.14,30.4,-31.6,262.0,4932.0,145.0,-148.0,0.492,0.026,-0.027,0
1.2253159,3.435758,0.6584036,-0.6584036,6006.5175069,854.75,-854.75,2.3820012,0.4548741,-0.4548741,743.1116558,3725.0,157.0,-157.0,0.297644,0.0114841,-0.0114841,0
0.530300102,2.8502,0.0223,-0.0223,3040.0,17.9,-17.9,35.73,14.5,-3.23,2410.0,6184.0,179.0,-225.0,1.038,0.42,-0.094,0
